flightid,callsign,receivetime,packettime,altitude,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,latitude,longitude,temperature_k,pressure_pa,velocity_x,velocity_y,velocity_z,airflow,acceleration,velocity_mean,acceleration_mean,velocity_std,acceleration_std,velocity_norm,acceleration_norm,velocity_curvefit
EOSS-340,KC0D-1,2023-04-22 07:16:31.989,2023-04-22 07:16:30,5443.0,436.0,0.0,ascending,/131630h3936.45N/10402.47WO188/007/A=005443 282T8400P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-1:/131630h3936.45N/10402.47WO188/007/A=005443 282T8400P EOSS BALLOON",188.0,8.0,39.6075,-104.0411666667,301.35,84000.0,5.56e-06,-1.111e-05,7.26666667,high Re,,7.266667,,,,,,11.30971
EOSS-340,AE0SS-13,2023-04-22 07:16:42.467,2023-04-22 07:16:41,5604.0,740.0,11.0,ascending,/131641h3936.43N/10402.48WO230/006EOSS Baloon/A=005604!W40!,"AE0SS-13>APTT4,EOSS,qAO,W0ARP-2:/131641h3936.43N/10402.48WO230/006EOSS Baloon/A=005604!W40!",230.0,7.0,39.6072333333,-104.0413333333,,,-1.67e-06,-1.722e-05,12.33333333,high Re,0.168889,9.8,0.168889,3.582674,,0.707107,,12.438307
EOSS-340,KC0D-1,2023-04-22 07:17:02.018,2023-04-22 07:17:00,5983.0,1080.0,30.0,ascending,/131700h3936.40N/10402.49WO164/008/A=005983 279T8225P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-1:/131700h3936.40N/10402.49WO164/008/A=005983 279T8225P EOSS BALLOON",164.0,9.0,39.6066666667,-104.0415,301.05,82250.0,-1.111e-05,-2.778e-05,18.0,high Re,0.188889,12.533333,0.178889,5.369461,0.014142,1.018103,0.707114,14.552595
EOSS-340,AE0SS-13,2023-04-22 07:17:12.371,2023-04-22 07:17:11,6149.0,1090.0,41.0,ascending,/131711h3936.36N/10402.48WO179/007EOSS Baloon/A=006149!W85!,"AE0SS-13>APTT4,EOSS,qAO,W0ARP-2:/131711h3936.36N/10402.48WO179/007EOSS Baloon/A=006149!W85!",179.0,8.0,39.6061333333,-104.0414166667,,,-2.78e-06,-3.667e-05,18.16666667,high Re,0.005556,13.941667,0.121111,5.210984,0.100572,0.810787,-1.148978,15.272347
EOSS-340,KC0D-1,2023-04-22 07:17:31.997,2023-04-22 07:17:30,6503.0,1040.0,60.0,ascending,/131730h3936.33N/10402.50WO228/011/A=006503 276T8058P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-1:/131730h3936.33N/10402.50WO228/011/A=006503 276T8058P EOSS BALLOON",228.0,13.0,39.6055,-104.0416666667,300.75,80580.0,-5.56e-06,-3.889e-05,17.33333333,high Re,-0.027778,14.62,0.083889,4.760929,0.110839,0.569917,-1.00747,16.463963
EOSS-340,AE0SS-13,2023-04-22 07:17:42.295,2023-04-22 07:17:41,6694.0,1090.0,71.0,ascending,/131741h3936.29N/10402.51WO182/008EOSS Baloon/A=006694!W88!,"AE0SS-13>APTT4,EOSS,qAO,W0ARP-2:/131741h3936.29N/10402.51WO182/008EOSS Baloon/A=006694!W88!",182.0,9.0,39.6049666667,-104.0419666667,,,-1.833e-05,-3.889e-05,18.16666667,high Re,0.027778,15.211111,0.072667,4.497736,0.099215,0.657121,-0.452442,16.942648
EOSS-340,KC0D-1,2023-04-22 07:18:01.997,2023-04-22 07:18:00,7028.0,1050.0,90.0,ascending,/131800h3936.25N/10402.52WO206/008/A=007028 272T7893P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-1:/131800h3936.25N/10402.52WO206/008/A=007028 272T7893P EOSS BALLOON",206.0,9.0,39.6041666667,-104.042,300.35,78930.0,-1.111e-05,-4.444e-05,17.5,high Re,-0.022222,15.538095,0.056852,4.196005,0.096827,0.467565,-0.816652,17.557476
EOSS-340,AE0SS-13,2023-04-22 07:18:12.306,2023-04-22 07:18:11,7193.0,998.0,101.0,ascending,/131811h3936.22N/10402.52WO161/013EOSS Baloon/A=007193!W23!,"AE0SS-13>APTT4,EOSS,qAO,W0ARP-2:/131811h3936.22N/10402.52WO161/013EOSS Baloon/A=007193!W23!",161.0,15.0,39.6037,-104.04205,,,-2.78e-06,-4.222e-05,16.63333333,high Re,-0.028889,15.675,0.044603,3.903997,0.094144,0.245475,-0.780634,17.774319
EOSS-340,KC0D-1,2023-04-22 07:18:31.975,2023-04-22 07:18:30,7544.0,1032.0,120.0,ascending,/131830h3936.17N/10402.54WO163/010/A=007544 268T7734P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-1:/131830h3936.17N/10402.54WO163/010/A=007544 268T7734P EOSS BALLOON",163.0,12.0,39.6028333333,-104.0423333333,299.95,77340.0,-1.111e-05,-4.444e-05,17.2,high Re,0.018889,15.844444,0.041389,3.687064,0.087634,0.367652,-0.25675,18.085501
EOSS-340,AE0SS-13,2023-04-22 07:18:42.361,2023-04-22 07:18:41,7714.0,1042.0,131.0,ascending,/131841h3936.14N/10402.55WO197/015EOSS Baloon/A=007714!W00!,"AE0SS-13>APTT4,EOSS,qAO,W0ARP-2:/131841h3936.14N/10402.55WO197/015EOSS Baloon/A=007714!W00!",197.0,17.0,39.6023333333,-104.0425,,,-1.5e-05,-4.556e-05,17.36666667,high Re,0.005556,15.996667,0.037408,3.509368,0.082839,0.390384,-0.384505,18.176802
