flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-344,KC0D-2,2023-07-22 07:01:16.906,2023-07-22 07:01:15.000,5652.0,1722.73,-56.0,0.0,ascending,True,/130115h3916.68N/10329.74WO068/000/A=005652 334T8362P EOSS Balloon,"KC0D-2>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-1:/130115h3916.68N/10329.74WO068/000/A=005652 334T8362P EOSS Balloon",68.0,0.0,0.0,39.278,-103.4956666667,0.0,0.0,92.12,33.4,306.55,83620.0,0.83,0.00184385,0.95027935,5.56e-06,0.0,-0.93333333,-0.28433333,high Re,,-0.933333,,,,,,5.043182,,-0.284333,,,,,,1.537177,
EOSS-344,AE0SS-13,2023-07-22 07:01:42.598,2023-07-22 07:01:41.000,5713.0,1741.32,236.0,26.0,ascending,True,/130141h3916.70N/10329.71WO048/013EOSS Baloon/A=005713!W24!,"AE0SS-13>APTT4,EOSS,qAO,AE0SS-1:/130141h3916.70N/10329.71WO048/013EOSS Baloon/A=005713!W24!",48.0,15.0,24.1,39.2783666667,-103.4952333333,0.03,0.06,,,,,,,,1.444e-05,6.67e-06,3.93333333,1.19866667,high Re,0.162222,1.5,0.162222,3.441253,,0.707107,,5.9576,0.049433,0.457167,0.049433,1.048639,,0.707107,,1.81585,
EOSS-344,KC0D-2,2023-07-22 07:01:46.906,2023-07-22 07:01:45.000,5900.0,1798.32,496.0,30.0,ascending,True,/130145h3916.72N/10329.69WO046/019/A=005900 334T8283P EOSS Balloon,"KC0D-2>APZEOS,EOSS*,WIDE2-1,qAO,N6BA-10:/130145h3916.72N/10329.69WO046/019/A=005900 334T8283P EOSS Balloon",46.0,22.0,35.4,39.2786666667,-103.4948333333,0.06,0.1,92.12,33.4,306.55,82830.0,0.82,0.00182643,0.94130158,2.778e-05,2.222e-05,8.26666667,2.51966667,high Re,0.144444,3.755556,0.153333,4.602576,0.012571,0.980127,-0.707104,8.555271,0.044033,1.144667,0.046733,1.40278,0.003818,0.980196,-0.707177,2.607655,
EOSS-344,AE0SS-13,2023-07-22 07:01:46.445,2023-07-22 07:01:46.445,0.0,0.0,,,,False,>EOSS Balloon Vbat=8.2V T=70F,"AE0SS-13>APTT4,EOSS,qAO,AE0SS-1:>EOSS Balloon Vbat=8.2V T=70F",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-344,KC0D-2,2023-07-22 07:01:49.571,2023-07-22 07:01:49.571,0.0,0.0,,,,False,>130145 Lk=3Diff/11 Itemp=92F bAlt=5468Ft Rel:7.5V 7.6V,"KC0D-2>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-1:>130145 Lk=3Diff/11 Itemp=92F bAlt=5468Ft Rel:7.5V 7.6V",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-344,AE0SS-13,2023-07-22 07:02:12.535,2023-07-22 07:02:11.000,6356.0,1937.31,1286.0,56.0,ascending,True,/130211h3916.80N/10329.59WO010/011EOSS Baloon/A=006356!W61!,"AE0SS-13>APTT4,EOSS,qAO,AE0SS-1:/130211h3916.80N/10329.59WO010/011EOSS Baloon/A=006356!W61!",10.0,13.0,20.9,39.2801,-103.4931833333,0.2,0.32,,,,,,,,6.833e-05,5.778e-05,21.43333333,6.533,high Re,0.438889,8.175,0.248518,9.604604,0.165105,1.380414,1.15303,13.721307,0.133778,2.49175,0.075748,2.927524,0.050328,1.380433,1.153036,4.182273,
EOSS-344,KC0D-2,2023-07-22 07:02:16.940,2023-07-22 07:02:15.000,6496.0,1979.98,1192.0,60.0,ascending,True,/130215h3916.82N/10329.58WO045/014/A=006496 335T8104P EOSS Balloon,"KC0D-2>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-1:/130215h3916.82N/10329.58WO045/014/A=006496 335T8104P EOSS Balloon",45.0,16.0,25.7,39.2803333333,-103.493,0.22,0.35,92.3,33.5,306.65,81040.0,0.8,0.00178637,0.92065923,6.111e-05,5.556e-05,19.86666667,6.05533333,high Re,-0.052222,10.513333,0.173333,9.824731,0.201951,0.952019,-1.11688,15.013398,-0.015922,3.204467,0.05283,2.994599,0.061558,0.952003,-1.116865,4.576083,
EOSS-344,AE0SS-13,2023-07-22 07:02:42.629,2023-07-22 07:02:41.000,6983.0,2128.42,1254.0,86.0,ascending,True,/130241h3916.87N/10329.45WO094/020EOSS Baloon/A=006983!W65!,"AE0SS-13>APTT4,EOSS,qAO,AE0SS-1:/130241h3916.87N/10329.45WO094/020EOSS Baloon/A=006983!W65!",94.0,23.0,37.0,39.2812666667,-103.4909166667,0.34,0.55,,,,,,,,7.556e-05,3.889e-05,20.9,6.37033333,high Re,0.034444,12.244444,0.145555,9.757087,0.185597,0.887105,-0.598668,18.606119,0.0105,3.732111,0.044364,2.973979,0.056573,0.887102,-0.598589,5.671159,
EOSS-344,KC0D-2,2023-07-22 07:02:46.953,2023-07-22 07:02:45.000,7119.0,2169.87,1246.0,90.0,ascending,True,/130245h3916.87N/10329.43WO087/016/A=007119 334T7925P EOSS Balloon,"KC0D-2>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-1:/130245h3916.87N/10329.43WO087/016/A=007119 334T7925P EOSS Balloon",87.0,18.0,29.0,39.2811666667,-103.4905,0.35,0.57,92.12,33.4,306.55,79250.0,0.78,0.00174749,0.90061754,8.333e-05,2.778e-05,20.76666667,6.32966667,high Re,-0.004444,13.461905,0.120556,9.471506,0.176938,0.771236,-0.706462,19.389501,-0.001356,4.10319,0.036744,2.886929,0.053933,0.771227,-0.706432,5.909917,
EOSS-344,KC0D-2,2023-07-22 07:02:49.574,2023-07-22 07:02:49.574,0.0,0.0,,,,False,>130245 Lk=3Diff/11 Itemp=92F bAlt=6638Ft Rel:7.5V 7.6V,"KC0D-2>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-1:>130245 Lk=3Diff/11 Itemp=92F bAlt=6638Ft Rel:7.5V 7.6V",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
