flightid,callsign,receivetime,packettime,altitude,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,latitude,longitude,distance_from_launch,temperature_k,pressure_pa,airdensity_slugs,airdensity_kgm3,velocity_x,velocity_y,velocity_z,airflow,acceleration,velocity_mean,acceleration_mean,velocity_std,acceleration_std,velocity_norm,acceleration_norm,velocity_curvefit
EOSS-357,KC0D-3,2024-04-21 08:09:18.157,2024-04-21 08:09:10,5421.0,396.0,0.0,ascending,/140910h3936.48N/10402.54WO023/007/A=005421 29T8409P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/140910h3936.48N/10402.54WO023/007/A=005421 29T8409P EOSS BALLOON",23.0,8.0,39.608,-104.0423333333,0.0,276.05,84090.0,0.00205908,1.06120442,-5.56e-06,0.0,6.6,high Re,,6.6,,,,,,12.326114
EOSS-357,AE0SS-12,2024-04-21 08:09:28.931,2024-04-21 08:09:27,5765.0,1062.0,17.0,ascending,/140927h3936.51N/10402.55WO300/001EOSS Balloon  www.eoss.org/A=005765!W24!,"AE0SS-12>APTT4,EOSS,qAO,AE0SS-10:/140927h3936.51N/10402.55WO300/001EOSS Balloon  www.eoss.org/A=005765!W24!",300.0,1.0,39.6085333333,-104.0425666667,0.04,,,,,-1.222e-05,1.444e-05,17.7,high Re,0.37,12.15,0.37,7.848885,,0.707107,,15.026715
EOSS-357,KC0D-3,2024-04-21 08:09:44.763,2024-04-21 08:09:40,6098.0,1354.0,30.0,ascending,/140940h3936.52N/10402.55WO029/011/A=006098 22T8193P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/140940h3936.52N/10402.55WO029/011/A=006098 22T8193P EOSS BALLOON",29.0,13.0,39.6086666667,-104.0425,0.05,275.35,81930.0,0.00201129,1.03657403,-5.56e-06,2.222e-05,22.56666667,high Re,0.162222,15.622222,0.266111,8.183611,0.146921,0.84858,-0.707108,17.113537
EOSS-357,AE0SS-12,2024-04-21 08:09:58.399,2024-04-21 08:09:57,6343.0,1156.0,47.0,ascending,/140957h3936.55N/10402.53WO337/016EOSS Balloon  www.eoss.org/A=006343!W87!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/140957h3936.55N/10402.53WO337/016EOSS Balloon  www.eoss.org/A=006343!W87!",337.0,18.0,39.6093,-104.0422833333,0.09,,,,,9.44e-06,2.556e-05,19.26666667,high Re,-0.11,16.533333,0.140741,6.925904,0.24072,0.394654,-1.041629,18.361213
EOSS-357,KC0D-3,2024-04-21 08:10:18.086,2024-04-21 08:10:10,6694.0,1192.0,60.0,ascending,/141010h3936.59N/10402.51WO354/009/A=006694 13T8002P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/141010h3936.59N/10402.51WO354/009/A=006694 13T8002P EOSS BALLOON",354.0,10.0,39.6098333333,-104.0418333333,0.13,274.45,80020.0,0.00197084,1.01572879,2.222e-05,3.889e-05,19.86666667,high Re,0.02,17.2,0.110556,6.18048,0.20561,0.431466,-0.440426,19.782631
EOSS-357,AE0SS-12,2024-04-21 08:10:28.328,2024-04-21 08:10:27,6999.0,1312.0,77.0,ascending,/141027h3936.63N/10402.48WO055/010EOSS Balloon  www.eoss.org/A=006999!W14!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/141027h3936.63N/10402.48WO055/010EOSS Balloon  www.eoss.org/A=006999!W14!",55.0,12.0,39.6105166667,-104.0414,0.18,,,,,2.944e-05,4.056e-05,21.86666667,high Re,0.066667,17.977778,0.101778,5.847076,0.179142,0.6651,-0.195995,20.717148
EOSS-357,KC0D-3,2024-04-21 08:10:45.143,2024-04-21 08:10:40,7354.0,1320.0,90.0,ascending,/141040h3936.65N/10402.45WO124/005/A=007354 7T7806P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/141040h3936.65N/10402.45WO124/005/A=007354 7T7806P EOSS BALLOON",124.0,6.0,39.6108333333,-104.0408333333,0.21,273.85,78060.0,0.00192678,0.99302058,3.333e-05,3.333e-05,22.0,high Re,0.004444,18.552381,0.085556,5.549903,0.165083,0.621203,-0.491341,21.511402
EOSS-357,AE0SS-12,2024-04-21 08:10:58.320,2024-04-21 08:10:57,7590.0,1182.0,107.0,ascending,/141057h3936.67N/10402.45WO012/008EOSS Balloon  www.eoss.org/A=007590!W91!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/141057h3936.67N/10402.45WO012/008EOSS Balloon  www.eoss.org/A=007590!W91!",12.0,9.0,39.6113166667,-104.04085,0.24,,,,,1.833e-05,2.667e-05,19.7,high Re,-0.076667,18.695833,0.062381,5.154207,0.162695,0.194825,-0.854654,21.89242
EOSS-357,KC0D-3,2024-04-21 08:11:18.400,2024-04-21 08:11:10,7955.0,1202.0,120.0,ascending,/141110h3936.68N/10402.45WO193/003/A=007955 22T7632P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/141110h3936.68N/10402.45WO193/003/A=007955 22T7632P EOSS BALLOON",193.0,3.0,39.6113333333,-104.0408333333,0.24,275.35,76320.0,0.00187357,0.9655966,0.0,1.667e-05,20.03333333,high Re,0.011111,18.844444,0.055972,4.841889,0.151713,0.245542,-0.295696,22.291936
EOSS-357,AE0SS-12,2024-04-21 08:11:28.358,2024-04-21 08:11:27,8226.0,1272.0,137.0,ascending,/141127h3936.68N/10402.45WO037/006EOSS Balloon  www.eoss.org/A=008226!W04!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/141127h3936.68N/10402.45WO037/006EOSS Balloon  www.eoss.org/A=008226!W04!",37.0,7.0,39.6113333333,-104.0409,0.24,,,,,-1.67e-06,5.6e-07,21.2,high Re,0.038889,19.08,0.054074,4.625352,0.142029,0.458343,-0.106915,22.465832
