flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-369,AE0SS-4,2025-03-23 07:00:46.689,2025-03-23 07:00:44,5235.0,1595.63,62.0,0.0,ascending,/130044h3936.49N/10402.53WO348/000/A=005235 -19T8409P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,KE0UWC-9:/130044h3936.49N/10402.53WO348/000/A=005235 -19T8409P EOSS BALLOON",348.0,0.0,0.0,39.6081666667,-104.0421666667,0.0,0.0,28.58,-1.9,271.25,84090.0,0.83,0.00209551,1.07998334,0.0,0.0,1.03333333,0.315,high Re,,1.033333,,,,,,7.190805,,0.315,,,,,,1.531308,
EOSS-369,KC0D-3,2025-03-23 07:01:12.437,2025-03-23 07:01:10,5467.0,1666.34,504.0,26.0,ascending,/130110h3936.49N/10402.53WO163/007/A=005467 -5T8308P EOSS Balloon,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,KE0UWC-9:/130110h3936.49N/10402.53WO163/007/A=005467 -5T8308P EOSS Balloon",163.0,8.0,12.9,39.6081666667,-104.0421666667,0.0,0.0,31.1,-0.5,272.65,83080.0,0.82,0.00205971,1.06153284,0.0,5.56e-06,8.4,2.56033333,high Re,0.245556,4.716667,0.245556,5.20902,,0.707107,,10.283738,0.074844,1.437667,0.074844,1.58769,,0.707107,,2.872899,
EOSS-369,AE0SS-4,2025-03-23 07:01:19.198,2025-03-23 07:01:14,5535.0,1687.07,600.0,30.0,ascending,/130114h3936.48N/10402.53WO215/007/A=005535 -5T8312P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/130114h3936.48N/10402.53WO215/007/A=005535 -5T8312P EOSS BALLOON",215.0,8.0,12.9,39.608,-104.0421666667,0.01,0.02,31.1,-0.5,272.65,83120.0,0.82,0.00206071,1.06204393,0.0,-5.56e-06,10.0,3.048,high Re,0.053333,6.477778,0.149444,4.782414,0.135922,0.736495,-0.707104,11.118406,0.016256,1.974444,0.04555,1.45766,0.041428,0.736493,-0.707106,3.224399,
EOSS-369,KC0D-3,2025-03-23 07:01:44.752,2025-03-23 07:01:40,6223.0,1896.77,1512.0,56.0,ascending,/130140h3936.37N/10402.53WO200/017/A=006223 6T8074P EOSS Balloon,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/130140h3936.37N/10402.53WO200/017/A=006223 6T8074P EOSS Balloon",200.0,20.0,32.2,39.6061666667,-104.0421666667,0.14,0.22,33.08,0.6,273.75,80740.0,0.8,0.00199366,1.02748873,0.0,-6.667e-05,25.2,7.681,high Re,0.506667,11.158333,0.268519,10.142882,0.227538,1.384386,1.04663,17.962085,0.154433,3.401083,0.081844,3.091554,0.069354,1.38439,1.046645,5.893402,
EOSS-369,AE0SS-4,2025-03-23 07:01:46.717,2025-03-23 07:01:44,6262.0,1908.66,1454.0,60.0,ascending,/130144h3936.35N/10402.53WO194/011/A=006262 -1T8080P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,KE0UWC-9:/130144h3936.35N/10402.53WO194/011/A=006262 -1T8080P EOSS BALLOON",194.0,13.0,20.9,39.6058333333,-104.0421666667,0.16,0.26,31.82,-0.1,273.05,80800.0,0.8,0.00200025,1.03088834,0.0,-7.222e-05,24.23333333,7.38633333,high Re,-0.032222,13.773333,0.193334,10.552235,0.239012,0.991259,-0.943702,18.272088,-0.009822,4.198133,0.058928,3.216322,0.072851,0.991257,-0.943707,6.003404,
EOSS-369,KC0D-3,2025-03-23 07:02:12.275,2025-03-23 07:02:10,6972.0,2125.07,1498.0,86.0,ascending,/130210h3936.18N/10402.53WO171/027/A=006972 -12T7850P EOSS Balloon,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/130210h3936.18N/10402.53WO171/027/A=006972 -12T7850P EOSS Balloon",171.0,31.0,49.9,39.603,-104.0421666667,0.36,0.57,29.84,-1.2,271.95,78500.0,0.77,0.00195118,1.00559485,0.0,-0.00010556,24.96666667,7.61,high Re,0.024444,15.638889,0.159556,10.486254,0.22034,0.889524,-0.613198,22.733875,0.007456,4.766778,0.048633,3.196235,0.067159,0.889553,-0.613127,7.4311,
EOSS-369,AE0SS-4,2025-03-23 07:02:18.911,2025-03-23 07:02:14,7012.0,2137.26,1500.0,90.0,ascending,/130214h3936.15N/10402.53WO196/016/A=007012 -12T7850P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/130214h3936.15N/10402.53WO196/016/A=007012 -12T7850P EOSS BALLOON",196.0,18.0,29.0,39.6025,-104.0421666667,0.39,0.63,29.84,-1.2,271.95,78500.0,0.77,0.00195118,1.00559485,0.0,-0.00011111,25.0,7.62,high Re,0.001111,16.97619,0.133148,10.205549,0.207422,0.78622,-0.636562,22.926209,0.000333,5.174381,0.040583,3.110667,0.063223,0.786204,-0.636635,7.484318,
EOSS-369,KC0D-3,2025-03-23 07:02:44.807,2025-03-23 07:02:40,7741.0,2359.46,1538.0,116.0,ascending,/130240h3935.93N/10402.49WO166/033/A=007741 -15T7620P EOSS Balloon,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/130240h3935.93N/10402.49WO166/033/A=007741 -15T7620P EOSS Balloon",166.0,38.0,61.2,39.5988333333,-104.0415,0.65,1.04,29.3,-1.5,271.65,76200.0,0.75,0.0018961,0.97720957,2.222e-05,-0.00013889,25.63333333,7.813,high Re,0.021111,18.058333,0.117143,9.931891,0.194027,0.762695,-0.494941,25.56285,0.006433,5.504208,0.035705,3.027246,0.05914,0.762671,-0.494961,8.097194,
EOSS-369,AE0SS-4,2025-03-23 07:02:46.455,2025-03-23 07:02:44,7788.0,2373.78,1552.0,120.0,ascending,/130244h3935.90N/10402.48WO159/037/A=007788 -27T7624P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/130244h3935.90N/10402.48WO159/037/A=007788 -27T7624P EOSS BALLOON",159.0,43.0,69.2,39.5983333333,-104.0413333333,0.68,1.09,27.14,-2.7,270.45,76240.0,0.75,0.00190551,0.98206074,2.778e-05,-0.00013889,25.86666667,7.884,high Re,0.007778,18.925926,0.103472,9.64814,0.183749,0.719386,-0.520787,25.683646,0.002367,5.76863,0.031537,2.940741,0.056007,0.719332,-0.520828,8.117897,
EOSS-369,KC0D-3,2025-03-23 07:03:12.364,2025-03-23 07:03:10,8522.0,2597.51,1562.0,146.0,ascending,/130310h3935.69N/10402.38WO152/031/A=008522 -21T7391P EOSS Balloon,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/130310h3935.69N/10402.38WO152/031/A=008522 -21T7391P EOSS Balloon",152.0,36.0,57.9,39.5948333333,-104.0396666667,0.93,1.5,28.22,-2.1,271.05,73910.0,0.73,0.00184319,0.94994014,6.111e-05,-0.00013333,26.03333333,7.935,high Re,0.005556,19.636667,0.092593,9.369908,0.174953,0.682682,-0.497488,26.981314,0.0017,5.985267,0.028222,2.855939,0.053326,0.682694,-0.497356,8.250388,
