balloonsize,beacons,day,detected_burst.burst_ft,detected_burst.burst_m,detected_burst.detected,flight,flighttime,flighttime_secs,h2fill,landing_location.altitude_ft,landing_location.altitude_m,landing_location.distance_from_launch_km,landing_location.distance_from_launch_mi,landing_location.latitude,landing_location.longitude,launch_location.altitude_ft,launch_location.altitude_m,launch_location.latitude,launch_location.longitude,liftfactor,maxaltitude_ft,maxaltitude_m,numpoints,parachute.description,parachute.size_ft,parachute.size_m,parachute.weight_kg,parachute.weight_lb,range_distance_traveled_km,range_distance_traveled_mi,reynolds_transitions,weights.balloon_kg,weights.balloon_lb,weights.client_kg,weights.client_lb,weights.eoss_kg,weights.eoss_lb,weights.gross_kg,weights.gross_lb,weights.necklift_kg,weights.necklift_lb,weights.neckload_kg,weights.neckload_lb,weights.parachute_kg,weights.parachute_lb
3000gm,"[""KC0D-1"",""AE0SS-12""]",2019-07-13,102985.0,31389.83,true,EOSS-291,2hrs 8mins 15secs,7695.0,370,5303.0,1616.35,13.39,8.32,39.23833333333334,-103.64215,5593.0,1704.75,39.27818333333333,-103.49525,1.17,102867.0,31353.86,500,Rocketman,12.0,3.66,0.52,1.15,13.39,8.32,"[{""altitude_ft"":13128.0,""altitude_m"":4001.41,""transition"":""low_to_high""},{""altitude_ft"":59923.0,""altitude_m"":18264.53,""transition"":""high_to_low""}]",3.0,6.61,5.4,11.9,1.68,3.71,10.6,23.38,9.41,20.74,7.61,16.77,0.52,1.15
3000gm,"[""KC0D-15"",""AE0SS-12"",""AE0SS-13""]",2019-07-27,107200.0,32674.56,true,EOSS-292,2hrs 28mins 30secs,8910.0,322,6412.0,1954.38,30.71,19.08,39.0775,-103.98883333333332,5401.0,1646.22,39.23616666666667,-103.697,1.15,107050.0,32628.84,784,Rocketman,12.0,3.66,0.52,1.15,30.71,19.08,"[{""altitude_ft"":50074.0,""altitude_m"":15262.56,""transition"":""high_to_low""}]",3.0,6.61,3.75,8.27,2.14,4.71,9.4,20.73,7.82,17.23,6.4,14.12,0.52,1.15
1500gm,"[""KC0D-1"",""AE0SS-13""]",2019-10-12,92859.0,28303.42,true,EOSS-293,2hrs 10mins 30secs,7830.0,273,4184.0,1275.28,140.62,87.38,39.432966666666665,-102.41771666666666,5217.0,1590.14,39.61046666666667,-104.04215,1.25,92625.0,28232.1,487,Rocketman,12.0,3.66,0.78,1.72,140.62,87.38,"[{""altitude_ft"":41295.0,""altitude_m"":12586.72,""transition"":""high_to_low""}]",1.5,3.31,3.18,7.02,1.86,4.09,7.32,16.14,7.65,16.87,5.82,12.83,0.78,1.72
3000gm,"[""KC0D-2"",""AE0SS-12""]",2019-11-02,0.0,0.0,false,EOSS-294,1hrs 48mins 15secs,6495.0,431,4109.0,1252.42,151.68,94.25,39.624,-102.47883333333333,4561.0,1390.19,40.22485,-104.0772,1.15,88956.0,27113.79,365,Rocketman,12.0,3.66,0.52,1.15,151.68,94.25,"[{""altitude_ft"":14093.0,""altitude_m"":4295.55,""transition"":""low_to_high""},{""altitude_ft"":60923.0,""altitude_m"":18569.33,""transition"":""high_to_low""}]",3.0,6.61,6.99,15.42,2.06,4.54,12.57,27.71,11.46,25.26,9.57,21.1,0.52,1.15
3000gm,"[""KC0D-1"",""AE0SS-13""]",2019-11-09,0.0,0.0,false,EOSS-295,2hrs 10mins 30secs,7830.0,439,4942.0,1506.32,142.07,88.28,40.046933333333335,-103.1697,4846.0,1477.06,40.52653333333333,-104.72345,1.15,110101.0,33558.78,357,Rocketman,12.0,3.66,0.52,1.15,142.07,88.28,"[{""altitude_ft"":74746.0,""altitude_m"":22782.58,""transition"":""high_to_low""}]",3.0,6.61,7.89,17.39,1.42,3.13,12.83,28.28,11.75,25.91,9.83,21.67,0.52,1.15
3000gm,"[""KC0D-2"",""AE0SS-12""]",2019-11-09,104022.0,31705.91,true,EOSS-296,2hrs 3mins 0secs,7380.0,348,4778.0,1456.33,129.18,80.27,40.04665,-103.33516666666668,4846.0,1477.06,40.52645,-104.7234,1.15,104023.0,31706.21,474,Rocketman,12.0,3.66,0.52,1.15,129.18,80.27,"[{""altitude_ft"":10474.0,""altitude_m"":3192.48,""transition"":""low_to_high""},{""altitude_ft"":48953.0,""altitude_m"":14920.87,""transition"":""high_to_low""}]",3.0,6.61,4.56,10.06,2.09,4.6,10.17,22.42,8.7,19.17,7.17,15.8,0.52,1.15
1500gm,"[""KC0D-2"",""K0SCC-14""]",2020-03-15,0.0,0.0,false,EOSS-297,1hrs 58mins 33secs,7113.0,238,3780.0,1152.14,175.6,109.11,40.8481,-102.93868333333332,4955.0,1510.28,40.47355,-104.96261666666668,1.25,85332.0,26009.19,227,Rocketman,10.0,3.05,0.67,1.48,175.6,109.11,"[{""altitude_ft"":32694.0,""altitude_m"":9965.13,""transition"":""high_to_low""}]",1.5,3.31,3.08,6.78,1.16,2.56,6.4,14.12,6.5,14.34,4.9,10.81,0.67,1.48
1500gm,"[""KC0D-14"",""AE0SS-12""]",2020-03-15,0.0,0.0,false,EOSS-298,2hrs 16mins 30secs,8190.0,206,4361.0,1329.23,208.28,129.42,40.857933333333335,-102.54408333333332,4948.0,1508.15,40.47358333333334,-104.9628,1.25,84358.0,25712.32,452,Rocketman,9.0,2.74,0.56,1.24,208.28,129.42,"[{""altitude_ft"":37455.0,""altitude_m"":11416.28,""transition"":""high_to_low""}]",1.5,3.31,1.87,4.13,1.6,3.53,5.53,12.2,5.42,11.95,4.04,8.9,0.56,1.24
3000gm,"[""KC0D-12"",""AE0SS-12""]",2020-05-30,0.0,0.0,false,EOSS-299,1hrs 45mins 0secs,6300.0,432,5483.0,1671.22,18.73,11.64,39.46586666666667,-103.92525,5243.0,1598.07,39.60835,-104.04191666666668,1.18,93102.0,28377.49,400,Rocketman,12.0,3.66,1.09,2.4,18.73,11.64,"[{""altitude_ft"":57204.0,""altitude_m"":17435.78,""transition"":""high_to_low""}]",3.0,6.61,6.96,15.34,1.25,2.76,12.3,27.11,11.51,25.37,9.29,20.49,1.09,2.4
1500gm,"[""KC0D-1"",""KC0D-3"",""KC0D-2"",""AE0SS-13""]",2020-07-11,0.0,0.0,false,EOSS-300,0hrs 25mins 26secs,1526.0,198,4866.0,1483.16,6.95,4.32,40.606516666666664,-104.32368333333334,4995.0,1522.48,40.648833333333336,-104.38433333333332,1.25,11223.0,3420.77,95,Rocketman,12.0,3.66,0.74,1.63,6.95,4.32,"[{""altitude_ft"":10075.0,""altitude_m"":3070.86,""transition"":""high_to_low""}]",1.5,3.31,0.05,0.12,3.02,6.66,5.32,11.72,5.14,11.34,3.81,8.41,0.74,1.63
