"flight","beacons","day","balloonsize","liftfactor","h2fill","parachute.description","parachute.size","weights.client","weights.eoss","weights.parachute","weights.neckload","weights.balloon","weights.gross","weights.necklift"
"EOSS-397","[""AE0SS-1"",""K0SCC-13"",""AE0SS-3""]","2026-04-19","3000gm","1.20","396","Rocketman","12","11.15","4.84","1.81","17.80","6.61","24.41","22.68"
"EOSS-396","[""KC0D-2"",""AE0SS-4""]","2026-04-19","3000gm","1.20","359","Rocketman","12","10.48","3.38","1.70","15.56","6.61","22.17","19.99"
"EOSS-395","[""KC0D-2"",""K0SCC-13"",""AE0SS-4""]","2026-04-12","3000gm","1.20","460","Rocketman","12","15.47","4.58","1.70","21.75","6.61","28.36","27.42"
"EOSS-394","[""AE0SS-1"",""AE0SS-3""]","2026-04-12","1500gm","1.30","287","Rocketman","12","7.62","3.64","1.75","13.01","3.31","16.32","17.91"
"EOSS-393","[""AE0SS-1"",""AE0SS-3""]","2026-04-04","3000gm","1.20","374","Rocketman","12","11.47","3.21","1.75","16.43","6.61","23.04","21.04"
"EOSS-392","[""KC0D-2"",""AE0SS-4""]","2026-04-04","3000gm","1.20","371","Rocketman","12","11.18","3.38","1.70","16.25","6.61","22.86","20.82"
"EOSS-391","[""KC0D-2"",""AE0SS-2"",""AE0SS-1"",""K0SCC-14"",""K0SCC-13""]","2026-03-21","1500gm","1.30","242","Rocketman","12","7.64","1.16","1.70","10.50","3.31","13.80","14.64"
"EOSS-390","[""KC0D-2"",""AE0SS-4""]","2025-12-6","1500gm","1.30","273","Rocketman","12","7.31","3.24","1.70","12.25","3.31","15.55","16.91"
"EOSS-389","[""KC0D-14"",""AE0SS-3""]","2025-12-6","1500gm","1.30","298","Rocketman","12","9.74","2.20","1.70","13.64","3.31","16.94","18.72"
"EOSS-388","[""KC0D-3"",""KC0D-1"",""AE0SS-1""]","2025-12-6","1500gm","1.30","239","Rocketman","12","3.88","4.61","1.81","10.30","3.31","13.60","14.38"
"EOSS-387","[""KC0D-2"",""AE0SS-2""]","2025-11-8","3000gm","1.20","344","Rocketman","12","9.63","3.24","1.70","14.57","6.61","21.19","18.81"
"EOSS-386","[""KC0D-1"",""AE0SS-1"",""AE0SS-3""]","2025-11-8","3000gm","1.20","344","Rocketman","12","7.80","5.12","1.70","14.61","6.61","21.23","18.86"
"EOSS-385","[""KC0D-2"",""AE0SS-2""]","2025-11-2","3000gm","1.20","355","Rocketman","12","10.16","3.44","1.70","15.30","6.61","21.92","19.69"
"EOSS-384","[""KC0D-1"",""AE0SS-3""]","2025-11-2","3000gm","1.20","347","Rocketman","12","9.42","3.67","1.70","14.79","6.61","21.41","19.07"
"EOSS-383","[""KC0D-1"",""AE0SS-3""]","2025-10-18","1500gm","1.30","219","Rocketman","12","3.54","3.90","1.70","9.14","3.31","12.44","12.87"
